state,trump_error,harris_error,trump_sigma_g,harris_sigma_g,sample_ratio,trump_data_defect_correlation,harris_data_defect_correlation,sample_size,total_votes,trump_data_defect_index_lower_bound,harris_data_defect_index_lower_bound,trump_effective_sample_size,harris_effective_sample_size,trump_percentage_reduction,harris_percentage_reduction
Hawaii,-0.1068289794733817,-0.0372239021232403,0.4840719678383214,0.4886670554131208,0.0002961093553138,-0.0044,0.00016,153,516701,1.936e-05,2.5600000000000004e-08,15.299435022463067,11570.197735737693,90.000369266364,-7462.220742312218
California,-0.0827804652913423,-0.0355908233075171,0.4862144077005835,0.4927590089098685,0.0002543729451583,-0.0044,0.00016,4035,15862536,1.936e-05,2.5600000000000004e-08,13.142441488484979,9938.971375666762,99.67428893461003,-146.31899320115892
Minnesota,-0.105750834629764,0.0056273924201262,0.4990196322327808,0.4998729996462558,0.0002465352388028,-0.0044,0.00016,799,3240916,1.936e-05,2.5600000000000004e-08,12.737398420185212,9632.657555265065,98.40583248808696,-1105.5891808842384
Tennessee,-0.1238458139864763,0.0277219553671642,0.4794300939493248,0.4752835975428174,0.000369785067733,-0.0044,0.00016,1133,3063942,1.936e-05,2.5600000000000004e-08,19.10753405541332,14450.072629406322,98.31354509660959,-1175.3815206889958
New Hampshire,-0.1312803183208676,0.0351319572537346,0.4996427999821977,0.4999183141366256,0.0003442336604566,-0.0044,0.00016,283,822116,1.936e-05,2.5600000000000004e-08,17.786787090611018,13451.257737274582,93.71491622239894,-4653.094606810807
Michigan,-0.0953779934438466,-0.0002793973188141,0.4999933374126084,0.4997201155732156,0.0002596024656229,-0.0044,0.00016,1470,5662504,1.936e-05,2.5600000000000004e-08,13.412700235697507,10143.35455324624,99.08757141253759,-590.0241192684516
Nevada,-0.1482893437357172,0.0386280163039881,0.4999649942475059,0.4993711651343044,0.0003973492093424,-0.0044,0.00016,590,1484840,1.936e-05,2.5600000000000004e-08,20.532394550492608,15527.623378810034,96.51993312703515,-2531.800572679667
North Carolina,-0.1297058735863351,0.0092242562245917,0.4998935387968308,0.4995196638183608,0.0002706154097252,-0.0044,0.00016,1537,5679647,1.936e-05,2.5600000000000004e-08,13.981852388865823,10573.775869079776,99.09031539434835,-587.9489830240583
Maine,-0.0216050916081361,-0.05526383250639,0.4979382928737663,0.4994230029227278,0.0002694331679446,-0.0044,0.00016,224,831375,1.936e-05,2.5600000000000004e-08,13.920753189109186,10527.569599263821,93.78537804057625,-4599.8078568142055
Idaho,-0.0307076861567145,-0.0478020336363096,0.4706021125904707,0.4599398123740001,0.0002718796832933,-0.0044,0.00016,246,904812,1.936e-05,2.5600000000000004e-08,14.047191216834111,10623.188357730796,94.2897596679536,-4218.36925111008
West Virginia,-0.1415338801510216,0.0389977196238406,0.4583245164219547,0.4495369422423659,0.0005286008473353,-0.0044,0.00016,403,762390,1.936e-05,2.5600000000000004e-08,27.31820320094337,20659.39117071342,93.2212895283019,-5026.399794221693
Ohio,-0.1603604027380432,0.0353004723718478,0.4973279253974491,0.4963257044246643,0.0003613172346239,-0.0044,0.00016,2083,5765017,1.936e-05,2.5600000000000004e-08,18.669826030733613,14119.055935742294,99.10370494331572,-577.8231366174889
Florida,-0.1344192875239281,0.0202924826757247,0.4962780647411537,0.495060324594627,0.0003252383888151,-0.0044,0.00016,3543,10893548,1.936e-05,2.5600000000000004e-08,16.804969175597726,12708.75793904578,99.52568531821626,-258.7004780989495
South Carolina,-0.1297723286210781,0.023206735569154,0.4931824871571016,0.4906207875425339,0.0003512365882565,-0.0044,0.00016,895,2548140,1.936e-05,2.5600000000000004e-08,18.148760265687425,13724.999950926112,97.97220555690643,-1433.5195475895098
Arkansas,-0.1785540876337571,0.0424496814953505,0.4794214033980178,0.4721994745315873,0.0004160057361441,-0.0044,0.00016,492,1182676,1.936e-05,2.5600000000000004e-08,21.496842403969076,16256.987068001612,95.63072308862417,-3204.2656642279703
Maryland,-0.0530693912348644,-0.0606246347299926,0.4748409476112747,0.4825607666705109,0.0002878318107207,-0.0044,0.00016,868,3015650,1.936e-05,2.5600000000000004e-08,14.871626122152579,11246.667254877886,98.28667901818518,-1195.6989924974523
Alaska,-0.0924566407582698,0.0389301773872575,0.497930186647201,0.4925591696935729,0.000345972671116,-0.0044,0.00016,117,338177,1.936e-05,2.5600000000000004e-08,17.87667405120936,13519.234751227075,84.72079140922277,-11454.901496775277
Rhode Island,-0.0827827431005598,-0.0864977488550761,0.4935360209289157,0.4965768034738764,0.0003485692017569,-0.0044,0.00016,178,510659,1.936e-05,2.5600000000000004e-08,18.010885568771133,13620.732211383169,89.88152496136453,-7552.096747968072
