state,trump_sigma_g,harris_sigma_g,sample_ratio,sample_size,total_votes,trump_error,harris_error,trump_s_g_sq,harris_s_g_sq,trump_var_srs,harris_var_srs,trump_Z_n_N,harris_Z_n_N
Nevada,0.4999649942475059,0.4993711651343044,0.0003973492093424,590,1484840,-0.1482893437357172,0.0386280163039881,0.2499651638177564,0.24937172851277772,0.00042350142433483095,0.0004224960014468149,-7.205805004231697,1.8792783237911077
North Carolina,0.4998935387968308,0.4995196638183608,0.0002706154097252,1537,5679647,-0.1297058735863351,0.0092242562245917,0.24989359412890402,0.24951993847350512,0.00016254129412592136,0.00016229825278667566,-10.173673279883841,0.7240597995455722
Maine,0.4979382928737663,0.4994230029227278,0.0002694331679446,224,831375,-0.0216050916081361,-0.05526383250639,0.24794284174229653,0.24942363586174945,0.001106589454093646,0.0011131983609882989,-0.6494756131466479,-1.6563599484436322
Idaho,0.4706021125904707,0.4599398123740001,0.0002718796832933,246,904812,-0.0307076861567145,-0.0478020336363096,0.22146659313992786,0.21154486480643062,0.0009000259385070118,0.000859704675022702,-1.023574788662406,-1.6303157679365767
West Virginia,0.4583245164219547,0.4495369422423659,0.0005286008473353,403,762390,-0.1415338801510216,0.0389977196238406,0.21006163788383989,0.2020837275066946,0.000520969228595687,0.0005011833892732057,-6.200894992195763,1.7419708296292242
Ohio,0.4973279253974491,0.4963257044246643,0.0003613172346239,2083,5765017,-0.1603604027380432,0.0353004723718478,0.24733510828288505,0.24633924760265158,0.00011869694759747234,0.00011821903071864064,-14.71896806002697,3.2466600704276134
Florida,0.4962780647411537,0.495060324594627,0.0003252383888151,3543,10893548,-0.1344192875239281,0.0202924826757247,0.2462919401521984,0.2450847474858939,6.949247433203646e-05,6.915185902272042e-05,-16.124739286911044,2.440244001920972
South Carolina,0.4931824871571016,0.4906207875425339,0.0003512365882565,895,2548140,-0.1297723286210781,0.023206735569154,0.24322906109203518,0.24070885163338784,0.0002716688604988295,0.0002688539730475721,-7.8733973021145225,1.415323847290411
Arkansas,0.4794214033980178,0.4721994745315873,0.0004160057361441,492,1182676,-0.1785540876337571,0.0424496814953505,0.22984507637935703,0.22297253228012756,0.0004669704461568267,0.0004530076716010091,-8.262759252349387,1.9944431318139682
Maryland,0.4748409476112747,0.4825607666705109,0.0002878318107207,868,3015650,-0.0530693912348644,-0.0606246347299926,0.2254740002963339,0.2328649707484633,0.0002596879051918873,0.00026820039723764904,-3.2932010428593683,-3.70185519551229
Alaska,0.497930186647201,0.4925591696935729,0.000345972671116,117,338177,-0.0924566407582698,0.0389301773872575,0.24793520392669396,0.24261525307013782,0.0021183711548882714,0.002072917220709228,-2.0088017729809806,0.8550576618355006
Rhode Island,0.4935360209289157,0.4965768034738764,0.0003485692017569,178,510659,-0.0827827431005598,-0.0864977488550761,0.24357828094247608,0.24658900463222336,0.001367940320536644,0.0013848486028073973,-2.2382378609541522,-2.324361408973218
