Unnamed: 0,state,trump_votes,harris_votes,total_votes,last_updated,trump_share,State,Pre-Election Classification,inputstate,trump_poll_likely,num_respondents_likely
40,Maine,377977,435652,831375,2024-12-30T21:16:30.530000Z,0.45464080589385053,Maine,Likely Blue,23,0.49504950495049505,202
41,Idaho,605246,274972,904812,2024-12-05T19:39:02.216000Z,0.6689190682705357,Idaho,Red,16,0.6591928251121076,223
42,West Virginia,533556,214309,762390,2024-12-18T17:10:55.307000Z,0.6998465352378703,West Virginia,Red,54,0.6308139534883721,344
43,Ohio,3180116,2533699,5765017,2024-12-05T19:39:12.312000Z,0.5516230047543659,Ohio,Red,39,0.45499451152579584,1822
44,Florida,6110126,4683038,10893548,2025-02-21T21:56:08.064000Z,0.5608940264457457,Florida,Red,12,0.49032882011605416,3102
45,South Carolina,1483747,1028452,2548140,2024-12-05T19:39:14.240000Z,0.5822862951015251,South Carolina,Red,45,0.513375796178344,785
46,Arkansas,759241,396905,1182676,2024-12-05T19:38:56.858000Z,0.6419687217800987,Arkansas,Red,5,0.5541561712846348,397
47,Maryland,1035550,1902577,3015650,2024-12-06T19:05:09.395000Z,0.34339197188002585,Maryland,Blue,24,0.3487773487773488,777
48,Alaska,184458,140026,338177,2024-12-05T19:38:56.358000Z,0.5454480937497228,Alaska,Red,2,0.45794392523364486,107
49,Rhode Island,214406,285156,510659,2024-12-05T19:39:13.865000Z,0.4198613947859531,Rhode Island,Blue,44,0.41721854304635764,151
