state,trump_error,harris_error,trump_sigma_g,harris_sigma_g,sample_ratio,trump_data_defect_correlation,harris_data_defect_correlation,sample_size,total_votes,trump_data_defect_index_lower_bound,harris_data_defect_index_lower_bound,trump_effective_sample_size,harris_effective_sample_size,trump_percentage_reduction,harris_percentage_reduction
Iowa,-0.1550954686026449,0.0584127301458441,0.4964462601168071,0.4946247754674774,0.0003283340847596,-0.0056618213183007,0.0021402323904846,544,1656849,3.2056220640364275e-05,4.580594685279426e-06,10.245809296195198,71.70290017002301,98.11657917349353,86.81931982168695
New Jersey,-0.0597652515856971,-0.0454391205549107,0.4984488810231379,0.49961011655371,0.0003187661270032,-0.0021410826871687,-0.0016240672422608,1362,4272725,4.584235073293541e-06,2.6375944073846e-06,69.55746512767209,120.89340588337514,94.89299081294625,91.12383216715307
South Dakota,-0.0999856341431284,0.0469220528752519,0.481615645259989,0.4745096197476193,0.000305416835695,-0.0036286897342108,0.001728402160265,131,428922,1.3167389187166845e-05,2.987374027608719e-06,23.2020288375844,102.26712183103886,82.2885276048974,21.93349478546651
Missouri,-0.1284545120918944,0.0417425668226302,0.4926797662885822,0.490112275637934,0.0004058663894526,-0.0052536886534676,0.0017161816953908,1215,2993596,2.76012444675742e-05,2.9452796115944408e-06,14.710611484935148,137.85828084532622,98.78925008354443,88.65363943659867
Wisconsin,-0.1089625000560161,-0.002861801598946,0.499991459708054,0.4998670407864027,0.0003153536836501,-0.0038706322971149,-0.0001016839627993,1077,3415213,1.4981794379468968e-05,1.0339628290569426e-08,21.05576641736302,30509.13960367216,98.04496133543519,-2732.7891925415192
Georgia,-0.1378528547302357,0.0065831963359812,0.4999473500167054,0.499784810115321,0.0003062829723238,-0.0048263569511221,0.000230558798508,1608,5250047,2.3293721419644613e-05,5.315735956945254e-08,13.152763562525314,5763.582179502759,99.18204206700713,-258.43172758101736
Indiana,-0.125355677940918,0.0096603196038392,0.4924794070370216,0.4892016899301828,0.0003674453007563,-0.0048801378290322,0.0003785992065854,1078,2933770,2.3815745230351118e-05,1.433373592270944e-07,15.434342401603589,2564.4421553227185,98.56824281988835,-137.888882682998
Nebraska,-0.1752738563708055,0.0655037207021114,0.4906334759464198,0.4878930757251409,0.0003008998489166,-0.0061977820453562,0.0023292582849157,285,947159,3.841250228173968e-05,5.425444157848428e-06,7.835740943923091,55.477562413421055,97.25061721265857,80.5341886268698
Alabama,-0.1618269962606308,0.0318218670372945,0.4775252568241757,0.4744886458969113,0.0003908964558721,-0.0067014748390738,0.0013262200742068,882,2256352,4.4909765018739214e-05,1.7588596852290898e-06,8.707445151416255,222.33116089230867,99.0127613207011,74.79238538635956
Connecticut,-0.0944506176956138,-0.0324536452538881,0.4934080930647806,0.4958651056421344,0.0003048175388372,-0.0033426023201314,-0.0011428417915679,536,1758429,1.117299027054782e-05,1.3060873605541272e-06,27.289962088600607,233.453358564155,94.90858916257451,56.44526892459795
North Dakota,-0.2611056007246761,0.136748976040707,0.4682824828888268,0.4615397784888557,0.0002711890406756,-0.0091833944448363,0.0048798886140165,99,365059,8.433473352945023e-05,2.3813312885207876e-05,3.2164992141257684,11.39121656145051,96.75101089482246,88.49372064499948
Hawaii,-0.1068289794733817,-0.0372239021232403,0.4840719678383214,0.4886670554131208,0.0002961093553138,-0.0037981273210959,-0.001310989489125,153,516701,1.4425771147255118e-05,1.7186934405962287e-06,20.532494173889916,172.33850728616954,86.58006916739221,-12.639547245862449
California,-0.0827804652913423,-0.0355908233075171,0.4862144077005835,0.4927590089098685,0.0002543729451583,-0.0027157559632551,-0.0011521105777685,4035,15862536,7.375330451955636e-06,1.3273587834060668e-06,34.49847689869987,191.68718390077612,99.14501915988352,95.24938825524718
Minnesota,-0.105750834629764,0.0056273924201262,0.4990196322327808,0.4998729996462558,0.0002465352388028,-0.0033278153079085,0.000176783026756,799,3240916,1.1074354723550144e-05,3.125223854901261e-08,22.267304919390696,7890.507844039759,97.21310326415636,-887.547915399219
Tennessee,-0.1238458139864763,0.0277219553671642,0.4794300939493248,0.4752835975428174,0.000369785067733,-0.0049683369093474,0.0011218273683223,1133,3063942,2.4684371644783673e-05,1.258496644316937e-06,14.986075588072511,293.93948802587477,98.67731018640137,74.05653238959621
New Hampshire,-0.1312803183208676,0.0351319572537346,0.4996427999821977,0.4999183141366256,0.0003442336604566,-0.0048757498648832,0.0013040814830914,283,822116,2.3772936744908545e-05,1.7006285145418651e-06,14.48505086978702,202.48525479239945,94.88160746650635,28.450440002685706
Michigan,-0.0953779934438466,-0.0002793973188141,0.4999933374126084,0.4997201155732156,0.0002596024656229,-0.0030739354966143,-9.00961406901428e-06,1470,5662504,9.449079437345403e-06,8.117314567258005e-11,27.480970848526876,3198962.8393915887,98.13054620078049,-217516.51968650264
Nevada,-0.1482893437357172,0.0386280163039881,0.4999649942475059,0.4993711651343044,0.0003973492093424,-0.0059134757820257,0.0015422380773415,590,1484840,3.496919582460446e-05,2.3784982872020063e-06,11.367352011505206,167.125265818523,98.0733301675415,71.67368375957237
